delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,chern_mag_error,is_gapped,round_seed,stage,score
5.682119947874544,0.44559710350370224,-0.05147328463070593,0.04116447433220873,-0.11488602219486697,11,0.01638394300401136,1.4712848826340164,0.011135805986587359,-1.000000051339307,1.0027536157034058,0.002753564364098793,0.002753564364098793,5.133930702783118e-08,True,20260230,polish,0.0050521863819495425
5.281449577324247,0.454849077854141,-0.060365432018475655,0.044059460725934224,-0.014964602999356237,11,0.021761661257716503,1.5096757855226521,0.014414791219680709,-1.0000000210971087,1.0020445163238256,0.0020444952267169025,0.0020444952267169025,2.109710872666426e-08,True,20260230,polish,0.005129743640053968
5.350109687354015,0.4454178206447591,-0.04585916491647944,0.050043691289610726,-0.07383057057818915,11,0.01985161715727579,1.495556277875172,0.013273734630354528,-1.0000000201003274,1.002567421581266,0.0025674014809387025,0.0025674014809387025,2.0100327402516882e-08,True,20260230,polish,0.005442854781265495
5.407780202462443,0.4740676428839956,-0.06079864912305945,0.03700290885435497,-0.1045560258385863,11,0.01917963000153078,1.5378948034751871,0.012471353670088807,-1.0000000243662226,1.0029010252246486,0.0029010008584260394,0.0029010008584260394,2.4366222595162412e-08,True,20260221,seed_stage2,0.005621090702876353
5.5348292729871345,0.4687900461192158,-0.07464548097824723,0.03767656287246389,-0.024715130713477307,11,0.02479263278859878,1.50263244280289,0.01649946592551442,-1.0000000133233167,1.002028170466744,0.0020281571434273005,0.0020281571434273005,1.3323316672142482e-08,True,20260230,polish,0.005714612091637323
5.117689805939466,0.44139865821893204,-0.044785381144705524,0.05824606531595708,-0.07170697148698563,11,0.02859570116681387,1.534345758096872,0.018637064700646477,-0.9999999810597984,1.001938859468234,0.0019388784084355404,0.0019388784084355404,1.8940201629291664e-08,True,20260230,polish,0.006225186265817142
5.532453868154784,0.43303873566683193,-0.059853709300566535,0.05246156000943271,-0.042915373512212446,11,0.03242230934759438,1.4768620706861693,0.021953512105927775,-0.9999999890522905,1.0012333674414196,0.0012333783891290695,0.0012333783891290695,1.0947709516706539e-08,True,20260230,polish,0.006318388056400952
5.4683432164336585,0.4606826000595342,-0.05716005405968172,0.04844950333538252,-0.14900993939161675,11,0.029272191627158772,1.5413492682020293,0.018991277467763377,-0.9999999989102024,1.0020047418861122,0.0020047429759098012,0.0020047429759098012,1.0897975855073128e-09,True,20260230,polish,0.006408868523738484
5.473069598407118,0.4585787633046797,-0.06252192300333749,0.04580777526323882,-0.041751813686750475,11,0.02827484222838139,1.4944395621953799,0.018920030587817643,-1.0000000104761395,1.002073854714573,0.0020738442384335976,0.0020738442384335976,1.0476139511439442e-08,True,20260230,polish,0.00647349400866954
5.684303848495304,0.4385928856998387,-0.07071172458725823,0.04520879610982065,-0.060766024796628376,11,0.037256840408128156,1.4844447619245575,0.025098165565841123,-0.9999999981213488,1.0006898053214357,0.0006898072000869337,0.0006898072000869337,1.878651234576978e-09,True,20260222,seed_stage2,0.00656124033754244
5.0233495610133385,0.46781082604865076,-0.030282378817991396,0.0551220212991312,-0.18632228262243514,11,0.018390033955340224,1.58851209723087,0.01157689260748983,-1.0000000396771587,1.0038758578294298,0.0038758181522711155,0.0038758181522711155,3.9677158669704227e-08,True,20260230,polish,0.0065629209259346335
4.691973392555138,0.519345546872943,-0.08879419050221546,0.03815191603880917,-0.03051431823737033,11,0.04136629435849937,1.702644361314819,0.024295322792221515,-0.9999999992183901,1.0010130968471216,0.0010130976287314741,0.0010130976287314741,7.816098879231959e-10,True,20260230,polish,0.006726549348366989
5.280600965662931,0.44415791729783693,-0.055701520914312644,0.05541398835692379,-0.0680588929555775,11,0.03522192032269911,1.5267713947311603,0.023069544297364252,-0.9999999910689088,1.0013019081684553,0.0013019170995465235,0.0013019170995465235,8.9310911999263e-09,True,20260221,seed_stage2,0.0067267682257502
