t2,phi,band_width,band_gap,width_gap_ratio,chern_number,quantum_weight,trace_condition,valid_gapped,chern_near_target
-2.77,1.0471975511965976,21.749490657861955,2.0,10.874745328930977,1.3420864221809559,6.532778261401249,5.1906918392202925,1,0
-2.77,1.0733774899765125,21.36405199878343,2.0,10.682025999391715,1.3540843592607972,6.6918952473564985,5.337810888095701,1,0
-2.77,1.0995574287564276,20.96191762288952,2.0,10.48095881144476,1.3656189907431096,6.845769638454653,5.480150647711544,1,0
-2.77,1.1257373675363425,20.54336304440853,2.0,10.271681522204265,1.3766646449941788,6.993969099350455,5.617304454356276,1,0
-2.77,1.1519173063162573,20.10867503996937,2.0,10.054337519984685,1.3871975266936034,7.136077123632848,5.748879596939245,1,0
-2.77,1.1780972450961724,19.65815145118917,2.0,9.829075725594585,1.3971956212598358,7.271694254167679,5.8744986329078435,1,0
-2.77,1.2042771838760873,19.192100979794493,2.0,9.596050489897246,1.4066386088657554,7.400439241984892,5.993800633119137,1,0
-2.77,1.2304571226560022,18.71084297539984,2.0,9.35542148769992,1.4155077873017603,7.521950143222356,6.106442355920596,1,0
-2.77,1.2566370614359172,18.214707216075045,2.0,9.107353608037522,1.4237860029779392,7.635885353315263,6.212099350337324,1,0
-2.77,1.2828170002158321,17.70403368184035,2.0,8.852016840920175,1.431457589401377,7.7419245773917655,6.310466987990388,1,0
-2.77,1.308996938995747,17.1791723212346,2.0,8.5895861606173,1.4385083125149876,7.839769735684291,6.401261423169303,1,0
-2.77,1.335176877775662,16.64048281110856,2.0,8.32024140555428,1.4449253223374896,7.929145802678421,6.484220480340931,1,0
-2.77,1.361356816555577,16.088334309801116,2.0,8.044167154900558,1.4506971103980002,8.00980157868516,6.55910446828716,1,0
-2.77,1.3875367553354918,15.523105203861828,2.0,7.761552601930914,1.4558134725120002,8.081510392529104,6.625696920017104,1,0
-2.77,1.413716694115407,14.945182848488658,2.0,7.472591424244329,1.4602654764971803,8.144070734086613,6.683805257589433,1,0
-2.77,1.4398966328953218,14.354963301854887,2.0,7.177481650927444,1.464045434477507,8.197306815478287,6.73326138100078,1,0
-2.77,1.4660765716752366,13.752851053503903,2.0,6.876425526751952,1.4671468794715439,8.241069059813936,6.773922180342392,1,0
-2.77,1.4922565104551517,13.400605185666299,2.0,6.700302592833149,1.4695645460065903,8.275234516500927,6.805669970494336,1,0
-2.77,1.5184364492350666,13.354842106647018,2.0,6.677421053323509,1.4712943545437234,8.299707202255595,6.8284128477118715,1,0
-2.77,1.5446163880149815,13.29924242646755,2.0,6.649621213233775,1.4723333995405254,8.314418367097879,6.842084967557353,1,0
-2.77,1.5707963267948966,13.23384424577716,2.0,6.61692212288858,1.4726799410184286,8.319326684760036,6.846646743741607,1,0
-2.77,1.5969762655748114,13.158692383694616,2.0,6.579346191847308,1.4723333995405254,8.314418367097879,6.842084967557353,1,0
-2.77,1.6231562043547263,13.073838347079834,2.0,6.536919173539917,1.4712943545437234,8.299707202255595,6.8284128477118715,1,0
-2.77,1.6493361431346414,12.979340295245223,2.0,6.489670147622611,1.4695645460065903,8.275234516500927,6.805669970494336,1,0
-2.77,1.6755160819145563,12.875263000130971,2.0,6.437631500065486,1.4671468794715439,8.241069059813936,6.773922180342392,1,0
-2.77,1.7016960206944711,12.761677801972207,2.0,6.380838900986103,1.464045434477507,8.197306815478289,6.733261381000782,1,0
-2.77,1.7278759594743862,12.638662560489223,2.0,6.3193312802446115,1.4602654764971803,8.144070734086613,6.683805257589433,1,0
-2.77,1.754055898254301,12.506301601635547,2.0,6.253150800817774,1.4558134725120004,8.081510392529106,6.625696920017106,1,0
-2.77,1.780235837034216,12.364685659942031,2.0,6.182342829971016,1.4506971103980004,8.009801578685163,6.559104468287163,1,0
-2.77,1.806415775814131,12.213911816498646,2.0,6.106955908249323,1.4449253223374896,7.929145802678424,6.484220480340935,1,0
-2.77,1.832595714594046,12.054083432619178,2.0,6.027041716309589,1.4385083125149876,7.839769735684291,6.401261423169303,1,0
-2.77,1.8587756533739608,11.88531007923755,2.0,5.942655039618775,1.431457589401377,7.7419245773917655,6.310466987990388,1,0
-2.77,1.8849555921538759,11.707707462088134,2.0,5.853853731044067,1.4237860029779392,7.635885353315263,6.212099350337324,1,0
