sector_kx,sector_ky,kvec_x,kvec_y,eig_index,energy,sector_dimension,solver
1,2,1.2091995761561454,4.886921905584122,9,-13.640059785425779,173583,sparse
1,3,1.2091995761561452,6.283185307179586,0,-13.647175955909518,173583,sparse
1,3,1.2091995761561452,6.283185307179586,1,-13.6465573974227,173583,sparse
1,3,1.2091995761561452,6.283185307179586,2,-13.64634053856537,173583,sparse
1,3,1.2091995761561452,6.283185307179586,3,-13.6452021540456,173583,sparse
1,3,1.2091995761561452,6.283185307179586,4,-13.644677776316138,173583,sparse
1,3,1.2091995761561452,6.283185307179586,5,-13.644388461390834,173583,sparse
1,3,1.2091995761561452,6.283185307179586,6,-13.640928455255484,173583,sparse
1,3,1.2091995761561452,6.283185307179586,7,-13.640600416671289,173583,sparse
1,3,1.2091995761561452,6.283185307179586,8,-13.640245753287664,173583,sparse
1,3,1.2091995761561452,6.283185307179586,9,-13.639842509070228,173583,sparse
1,4,1.2091995761561447,7.67944870877505,0,-13.647182696990185,173583,sparse
1,4,1.2091995761561447,7.67944870877505,1,-13.646959888412551,173583,sparse
1,4,1.2091995761561447,7.67944870877505,2,-13.646581236128897,173583,sparse
1,4,1.2091995761561447,7.67944870877505,3,-13.645013002306468,173583,sparse
1,4,1.2091995761561447,7.67944870877505,4,-13.644751426004865,173583,sparse
1,4,1.2091995761561447,7.67944870877505,5,-13.644634773546947,173583,sparse
1,4,1.2091995761561447,7.67944870877505,6,-13.642686928867043,173583,sparse
1,4,1.2091995761561447,7.67944870877505,7,-13.64217769317212,173583,sparse
1,4,1.2091995761561447,7.67944870877505,8,-13.641564323511135,173583,sparse
1,4,1.2091995761561447,7.67944870877505,9,-13.640049072733273,173583,sparse
1,5,1.209199576156145,9.075712110370514,0,-13.64820189576693,173583,sparse
1,5,1.209199576156145,9.075712110370514,1,-13.64757354533102,173583,sparse
1,5,1.209199576156145,9.075712110370514,2,-13.64753739007934,173583,sparse
1,5,1.209199576156145,9.075712110370514,3,-13.645942367048,173583,sparse
1,5,1.209199576156145,9.075712110370514,4,-13.64462349815954,173583,sparse
1,5,1.209199576156145,9.075712110370514,5,-13.644248475219724,173583,sparse
1,5,1.209199576156145,9.075712110370514,6,-13.6441685122117,173583,sparse
1,5,1.209199576156145,9.075712110370514,7,-13.642647533892317,173583,sparse
1,5,1.209199576156145,9.075712110370514,8,-13.642122169398762,173583,sparse
1,5,1.209199576156145,9.075712110370514,9,-13.640245659790104,173583,sparse
1,6,1.2091995761561454,10.471975511965976,0,-13.647261705355373,173583,sparse
1,6,1.2091995761561454,10.471975511965976,1,-13.646629739367272,173583,sparse
1,6,1.2091995761561454,10.471975511965976,2,-13.646405540796506,173583,sparse
1,6,1.2091995761561454,10.471975511965976,3,-13.645245261957621,173583,sparse
1,6,1.2091995761561454,10.471975511965976,4,-13.644707510864327,173583,sparse
1,6,1.2091995761561454,10.471975511965976,5,-13.644452327934314,173583,sparse
1,6,1.2091995761561454,10.471975511965976,6,-13.640853371803143,173583,sparse
1,6,1.2091995761561454,10.471975511965976,7,-13.640611827164813,173583,sparse
1,6,1.2091995761561454,10.471975511965976,8,-13.6402339617822,173583,sparse
1,6,1.2091995761561454,10.471975511965976,9,-13.639814514502287,173583,sparse
1,7,1.2091995761561458,11.868238913561441,0,-13.646439112795596,173583,sparse
1,7,1.2091995761561458,11.868238913561441,1,-13.646093682930912,173583,sparse
1,7,1.2091995761561458,11.868238913561441,2,-13.645778464989684,173583,sparse
1,7,1.2091995761561458,11.868238913561441,3,-13.645127814463788,173583,sparse
1,7,1.2091995761561458,11.868238913561441,4,-13.644930824026124,173583,sparse
1,7,1.2091995761561458,11.868238913561441,5,-13.644081897481788,173583,sparse
1,7,1.2091995761561458,11.868238913561441,6,-13.640566044000707,173583,sparse
1,7,1.2091995761561458,11.868238913561441,7,-13.640147069454436,173583,sparse
1,7,1.2091995761561458,11.868238913561441,8,-13.639842344906942,173583,sparse
1,7,1.2091995761561458,11.868238913561441,9,-13.639602929799851,173583,sparse
1,8,1.2091995761561445,13.264502315156903,0,-13.646436295647783,173583,sparse
1,8,1.2091995761561445,13.264502315156903,1,-13.646094994089546,173583,sparse
1,8,1.2091995761561445,13.264502315156903,2,-13.645786090506665,173583,sparse
1,8,1.2091995761561445,13.264502315156903,3,-13.645126982270158,173583,sparse
1,8,1.2091995761561445,13.264502315156903,4,-13.64493892134355,173583,sparse
1,8,1.2091995761561445,13.264502315156903,5,-13.644066815156684,173583,sparse
1,8,1.2091995761561445,13.264502315156903,6,-13.640571126358594,173583,sparse
1,8,1.2091995761561445,13.264502315156903,7,-13.640140024309222,173583,sparse
1,8,1.2091995761561445,13.264502315156903,8,-13.639841290230507,173583,sparse
